,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID,,scc_div_100k,ls,ls_no_neg
2436,12.17.2019,first,BJ,31,755,RF,cns,yes2,,,,,,,2,BJ022,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,755_RF_first,,0.05,-1.321928095,0
2861,2.12.2020,second,vonTrapp,31,imogene,LF,cns,yes2,,,,,,,2,VT060,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,imogene_LF_second,,0.05,-1.321928095,0
3045,12.19.2019,first,Lynd,17,atlantic,RH,cns,yes2,,,,,,,2,LF023,,,,,,,,no,,yes,NA,NA,NA,NA,NA,5000,,,atlantic_RH_first,,0.05,-1.321928095,0
1708,1.3.2020,first,OughtaBe,26,whinnie,LF,,,,,,,,,5,OB035,,,,,,,,,,no,NA,NA,NA,NA,NA,6000,,,whinnie_LF_first,,0.06,-1.058893689,0
3023,12.19.2019,first,Lynd,11,jitterbug,LH,cns,yes2,,,,,,,2,LF013,,,,,,,,no,,yes,NA,NA,NA,NA,NA,6000,,,jitterbug_LH_first,,0.06,-1.058893689,0
1529,3.19.2020,third,Glennview,3,172,RF,cns,yes2,,,,,,,2,GV104,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,172_RF_third,,0.07,-0.836501268,0
2179,2.21.2020,second,Paddlebridge,23,shiela375,LH,cns,yes2,,,,,,,2,PB043,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,shiela375_LH_second,,0.07,-0.836501268,0
2349,3.20.2020,third,Paddlebridge,34,farrah363,RF,cns,yes2,,,,,,,2,PB101,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,farrah363_RF_third,,0.07,-0.836501268,0
2412,12.17.2019,first,BJ,20,763,RF,cns,yes2,,,,,,,2,BJ017,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,763_RF_first,,0.07,-0.836501268,0
2957,3.10.2020,third,vonTrapp,25,ardetta,LH,cns,yes2,,,,,,,2,VT093,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,ardetta_LH_third,,0.07,-0.836501268,0
3036,12.19.2019,first,Lynd,15,amarillo,LF,cns,yes2,,,,,,,2,LF020,,,,,,,,no,,yes,NA,NA,NA,NA,NA,7000,,,amarillo_LF_first,,0.07,-0.836501268,0
1891,3.12.2020,third,OughtaBe,6,korny,RH,cns,yes2,,,,,,,2,OB116,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,korny_RH_third,,0.08,-0.64385619,0
2490,1.29.2020,second,BJ,13,693,LH,cns,yes2,,,,,,,2,BJ042,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,693_LH_second,,0.08,-0.64385619,0
2773,2.12.2020,second,vonTrapp,3,lena,RF,cns,yes2,,,,,,,2,VT036,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,lena_RF_second,,0.08,-0.64385619,0
2900,3.10.2020,third,vonTrapp,7,matilda,RH,cns,yes2,,,,,,,2,VT073,,,,,,,,no,,yes,NA,NA,NA,NA,NA,8000,,,matilda_RH_third,,0.08,-0.64385619,0
221,3.3.2020,third,Butterworks,4,pomme,LF,cns,yes2,,,,,,,2,BW120,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,pomme_LF_third,,0.09,-0.473931188,0
2435,12.17.2019,first,BJ,31,755,RH,cns,yes2,,,,,,,2,BJ021,,,,,,,,no,,yes,NA,NA,NA,NA,NA,9000,,,755_RH_first,,0.09,-0.473931188,0
