"","date","visit","farm","order","cow_id","quarter","path_1","path1_IMI","path_2","path2_IMI","path_3","path3_IMI","path_4","path4_IMI","quarter_code","isolate_1","isolate_2","isolate_3","isolate_4","clinical","blind","teatinj","pstmilking","mixed_inf_series","dup_not_collected","IMI_series","hygiene_1","hygiene_2","cc_1","cc_2","cc_3","scc","contam","contam_comment","uniqueID","scc_eq_above_200k","scc_eq_above_100k"
"139","3.3.2020","third","Butterworks",9,"blackberry","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",34000,"","","blackberry_RF_third","no","no"
"140","3.3.2020","third","Butterworks",10,"wildcucumber","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",14000,"","","wildcucumber_RH_third","no","no"
"141","3.3.2020","third","Butterworks",10,"wildcucumber","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",18000,"","","wildcucumber_RF_third","no","no"
"142","3.3.2020","third","Butterworks",11,"rhubarb","LH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","rhubarb_LH_third","no","no"
"143","3.3.2020","third","Butterworks",11,"rhubarb","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","rhubarb_LF_third","no","no"
"144","3.3.2020","third","Butterworks",11,"rhubarb","RH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",2000,"","","rhubarb_RH_third","no","no"
"145","3.3.2020","third","Butterworks",12,"snowball","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",20000,"","","snowball_LF_third","no","no"
"146","3.3.2020","third","Butterworks",13,"nebula","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","nebula_LH_third","no","no"
"147","3.3.2020","third","Butterworks",13,"nebula","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","nebula_LF_third","no","no"
"148","3.3.2020","third","Butterworks",13,"nebula","RF","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",39000,"","","nebula_RF_third","no","no"
"149","3.3.2020","third","Butterworks",14,"joy","LH","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",6000,"","","joy_LH_third","no","no"
"150","3.3.2020","third","Butterworks",14,"joy","LF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",3000,"","","joy_LF_third","no","no"
"151","3.3.2020","third","Butterworks",14,"joy","RH","","","","","","","","",5,"","","","","","","","","","","","NA","NA","NA","NA","NA",74000,"","","joy_RH_third","no","no"
"152","3.3.2020","third","Butterworks",14,"joy","RF","","","","","","","","",3,"","","","","","","","","","","","NA","NA","NA","NA","NA",4000,"","","joy_RF_third","no","no"
