,date,visit,farm,order,cow_id,quarter,path_1,path1_IMI,path_2,path2_IMI,path_3,path3_IMI,path_4,path4_IMI,quarter_code,isolate_1,isolate_2,isolate_3,isolate_4,clinical,blind,teatinj,pstmilking,mixed_inf_series,dup_not_collected,IMI_series,hygiene_1,hygiene_2,cc_1,cc_2,cc_3,scc,contam,contam_comment,uniqueID
127,2.4.2020,second,Butterworks,11,rhubarb,RF,cns,yes2,,,,,,,2,BW080,,,,,,,,no,,yes,NA,NA,NA,NA,NA,72000,,,rhubarb_RF_second
128,2.4.2020,second,Butterworks,12,snowball,LH,strep,yes2,,,,,,,2,BW081,,,,,,,,no,,yes,NA,NA,NA,NA,NA,110000,,,snowball_LH_second
129,2.4.2020,second,Butterworks,12,snowball,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,44000,,,snowball_LF_second
130,2.4.2020,second,Butterworks,12,snowball,RH,cns,yes2,cns,other18,,,,,2,BW082,BW083,,,,,,,tbd,,yes,NA,NA,NA,NA,NA,480000,,,snowball_RH_second
131,2.4.2020,second,Butterworks,12,snowball,RF,cns,yes2,,,,,,,2,BW070,,,,,,,,no,,yes,NA,NA,NA,NA,NA,130000,,,snowball_RF_second
132,2.4.2020,second,Butterworks,13,nebula,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,38000,,,nebula_LH_second
133,2.4.2020,second,Butterworks,13,nebula,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,42000,,,nebula_LF_second
134,2.4.2020,second,Butterworks,13,nebula,RH,cns,yes2,,,,,,,2,BW084,,,,,,,,no,,yes,NA,NA,NA,NA,NA,460000,,,nebula_RH_second
135,2.4.2020,second,Butterworks,13,nebula,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,130000,,,nebula_RF_second
136,2.4.2020,second,Butterworks,14,joy,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,12000,,,joy_LH_second
137,2.4.2020,second,Butterworks,14,joy,LF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,6000,,,joy_LF_second
138,2.4.2020,second,Butterworks,14,joy,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,460000,,,joy_RH_second
139,2.4.2020,second,Butterworks,14,joy,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,19000,,,joy_RF_second
140,2.4.2020,second,Butterworks,15,mustard,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,15000,,,mustard_LH_second
141,2.4.2020,second,Butterworks,15,mustard,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,23000,,,mustard_LF_second
142,2.4.2020,second,Butterworks,15,mustard,RH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,17000,,,mustard_RH_second
143,2.4.2020,second,Butterworks,15,mustard,RF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,39000,,,mustard_RF_second
144,2.4.2020,second,Butterworks,16,hawthorn,LH,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,39000,,,hawthorn_LH_second
145,2.4.2020,second,Butterworks,16,hawthorn,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,33000,,,hawthorn_LF_second
146,2.4.2020,second,Butterworks,16,hawthorn,RH,cns,yes2,,,,,,,2,BW085,,,,,,,,no,,yes,NA,NA,NA,NA,NA,120000,,,hawthorn_RH_second
147,2.4.2020,second,Butterworks,16,hawthorn,RF,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,35000,,,hawthorn_RF_second
148,2.4.2020,second,Butterworks,17,nona,LH,,,,,,,,,5,,,,,,,,,,,,NA,NA,NA,NA,NA,69000,,,nona_LH_second
149,2.4.2020,second,Butterworks,17,nona,LF,,,,,,,,,3,,,,,,,,,,,,NA,NA,NA,NA,NA,24000,,,nona_LF_second
